	## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "Diese Nation ärgert sich noch immer über die Schlacht, die sie gegen uns verloren hat."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_1 "Im Austausch bitten wir Sie höflichst, Ihr Handelsembargo gegen unsere Nation zu beenden."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_2 "Im Austausch flehen wir Sie an, zum Wohle unserer Nation Ihr Handelsembargo gegen uns aufzuheben."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_3 "Dafür bestehen wir auf der Aufhebung Ihres Handelsembargos gegen uns. Es besteht kein Grund für eine solche Maßnahme."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_4 "Im Austausch fordern wir die Aufhebung Ihres Handelsembargos gegen unsere Nation! Alles andere wäre ein großer Fehler!"

DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_0  "Wir bitten Sie, Ihre Umweltverschmutzung unter den Grenzwert von {value[0].value} zu senken und hoffen, dass Sie uns nicht enttäuschen werden."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_1  "Wir bitten Sie, sich an unser Umweltschutzabkommen zu halten und Ihre Umweltverschmutzung unter den Grenzwert von {value[0].value} zu senken."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_2  "Bitte halten Sie sich an das Abkommen und senken Sie Ihre Umweltverschmutzung unter den Grenzwert von {value[0].value}. Das ist eine Frage der Ehre."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_3  "Wir bestehen auf Einhaltung des mit uns geschlossenen Umweltschutzabkommens: Senken Sie Ihre Umweltverschmutzung unter den Grenzwert von {value[0].value}!"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_4  "Wir verlangen die Einhaltung unseres Abkommens: Sorgen Sie dafür, dass Ihre Umweltverschmutzung unter dem Grenzwert von {value[0].value} bleibt!"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_0  "Außerdem bitten wir Sie, sich an unser Umweltschutzabkommen zu halten und die Umweltverschmutzung in Ihrem Reich unter den Grenzwert von {value[0].value} zu senken."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_1  "Außerdem bitten wir Sie, sich an unser Abkommen zu halten und Ihre Umweltverschmutzung unter den Grenzwert von {value[0].value} zu senken. Eine sauberere Welt für alle!"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_2  "Außerdem flehen wir Sie an, sich an unser Abkommen zu halten und Ihre Umweltverschmutzung unter den Grenzwert von {value[0].value} zu senken. Wir hoffen, Sie halten Ihr Wort."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_3  "Außerdem müssen wir darauf bestehen, dass Sie Wort halten: Senken Sie Ihre Umweltverschmutzung unter den Grenzwert von {value[0].value}!"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_4  "Außerdem verlangen wir, dass Sie sich an unser Abkommen halten: Die Umweltverschmutzung in Ihrem Reich darf den Grenzwert von {value[0].value} nicht überschreiten!"
DIP_DETAILS_TREATY_DECLARE_WAR_0  "Wir schlagen vor, dass wir uns zusammentun und {player[2].country_name#DAT} gemeinsam den Krieg erklären."
DIP_DETAILS_TREATY_DECLARE_WAR_1  "Wir schlagen vor, dass wir {player[2].civ_name_plural#DAT} gemeinsam den Krieg erklären. Zusammen sind wir in der Lage, dieses widerwärtige Reich auszuradieren."
DIP_DETAILS_TREATY_DECLARE_WAR_2  "Wir schlagen untertänigst vor, dass wir {player[2].civ_name_plural#DAT} gemeinsam den Krieg erklären."
DIP_DETAILS_TREATY_DECLARE_WAR_3  "Wir sind der Auffassung, dass es das Beste wäre, wenn wir {player[2].civ_name_plural#DAT} gemeinsam den Krieg erklären. Einigkeit macht stark."
DIP_DETAILS_TREATY_DECLARE_WAR_4  "Wir bitten Sie eindringlich, {player[2].country_name#DAT} den Krieg zu erklären, denn dann werden wir es ebenfalls tun."
DIP_DETAILS_TREATY_DECLARE_WAR_EX_0  "Außerdem schlagen wir vor, dass wir {player[2].civ_name_plural#DAT} gemeinsam den Krieg erklären. Schließen Sie sich dieser Schlacht an!"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_1  "Außerdem bitten wir Sie, sich unserer Kriegserklärung {player[2].country_name#TO_SOMEONE } anzuschließen. Gemeinsam können wir sie vernichten!"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_2  "Außerdem schlagen wir vor, dass wir {player[2].civ_name_plural#DAT} gemeinsam den Krieg erklären."
DIP_DETAILS_TREATY_DECLARE_WAR_EX_3  "Außerdem bitten wir Sie eindringlichst, sich unserer Kriegserklärung {player[2].country_name#TO_SOMEONE} anzuschließen. Entscheiden Sie sich für die richtige Seite."
DIP_DETAILS_TREATY_DECLARE_WAR_EX_4  "Außerdem bestehen wir darauf, dass wir {player[2].civ_name_plural#DAT} gemeinsam den Krieg erklären. Stellen auch Sie sich in den Dienst unserer Sache!"
DIP_DETAILS_TREATY_CEASEFIRE_0  "Ein Krieg ist in dieser Situation viel zu teuer und auch unnötig. Unterzeichnen Sie ein Waffenstillstandsabkommen mit uns."
DIP_DETAILS_TREATY_CEASEFIRE_1  "Unsere Völker verfolgen dieselben Ziele, deshalb lassen Sie uns in freundschaftlicher Verbundenheit ein Waffenstillstandsabkommen schließen."
DIP_DETAILS_TREATY_CEASEFIRE_2  "Wir schlagen ein Waffenstillstandsabkommen vor und hoffen, dass Sie sich gnädig zeigen werden."
DIP_DETAILS_TREATY_CEASEFIRE_3  "Wir schlagen vor, allen Aggressionen zwischen unseren Völkern ein Ende zu bereiten: Unterzeichnen Sie ein Waffenstillstandsabkommen mit uns."
DIP_DETAILS_TREATY_CEASEFIRE_4  "Wir schlagen ein Waffenstillstandsabkommen vor und raten Ihnen, es sofort zu akzeptieren."
DIP_DETAILS_TREATY_CEASEFIRE_EX_0  "Außerdem schlagen wir vor, dass Sie ein Waffenstillstandsabkommen mit uns unterzeichnen, damit unsere Bürger in Frieden leben können."
DIP_DETAILS_TREATY_CEASEFIRE_EX_1  "Außerdem hoffen wir, dass wir ein Waffenstillstandsabkommen abschließen und unsere Beziehungen damit normalisieren können."
DIP_DETAILS_TREATY_CEASEFIRE_EX_2  "Außerdem bitten wir Sie eindringlich, ein Waffenstillstandsabkommen mit uns zu schließen. Wir wollen nicht gegen Sie kämpfen."
DIP_DETAILS_TREATY_CEASEFIRE_EX_3  "Außerdem bitten wir Sie, einem Waffenstillstandsabkommen mit uns zuzustimmen. Es ist besser, einen kühlen Kopf zu bewahren."
DIP_DETAILS_TREATY_CEASEFIRE_EX_4  "Außerdem verlangen wir, dass Sie sofort ein Waffenstillstandsabkommen mit schließen."
DIP_DETAILS_TREATY_PEACE_0  "Wir schlagen vor, unsere Streitigkeiten zu beenden und zur Sicherung der Zukunft unserer Kinder ein Friedensabkommen zu schließen."
DIP_DETAILS_TREATY_PEACE_1  "Wir würden gern ein Friedensabkommen mit Ihnen schließen, um unsere freundschaftliche Verbundenheit zu bekräftigen."
DIP_DETAILS_TREATY_PEACE_2  "Wir würden gern ein Friedensabkommen mit Ihnen schließen, um die friedliche Koexistenz unserer Völker zu gewährleisten."
DIP_DETAILS_TREATY_PEACE_3  "Es wäre sicher im besten Interesse Ihres Volkes, ein Friedensabkommen mit uns zu schließen. Vermutlich sehen Sie das genauso."
DIP_DETAILS_TREATY_PEACE_4  "Unterzeichnen Sie ein Friedensabkommen mit uns und beenden Sie diesen erbärmlichen Krieg!! Wir werden keine Kompromisse machen."
DIP_DETAILS_TREATY_PEACE_EX_0  "Außerdem bitten wir Sie, sich zu Frieden und Harmonie zu verpflichten, indem Sie ein Friedensabkommen mit uns schließen."
DIP_DETAILS_TREATY_PEACE_EX_1  "Außerdem schlagen wir ein Friedensabkommen zwischen unseren beiden Völkern vor. Können wir nicht einfach unsere Waffen niederlegen?"
DIP_DETAILS_TREATY_PEACE_EX_2  "Außerdem schlagen wir ein Friedensabkommen vor. Was halten Sie davon?"
DIP_DETAILS_TREATY_PEACE_EX_3  "Außerdem bitten wir Sie, ein Friedensabkommen mit uns zu schließen. Wir wollen uns nicht der ständigen Bedrohung eines Krieges aussetzen."
DIP_DETAILS_TREATY_PEACE_EX_4  "Außerdem bestehen wir darauf, dass Sie ein Friedensabkommen mit uns unterzeichnen."
DIP_DETAILS_TREATY_TRADE_PACT_0  "Wir würden gern ein Handelsabkommen mit Ihnen schließen, das uns allen ökonomische Vorteile bringt."
DIP_DETAILS_TREATY_TRADE_PACT_1  "Wir freuen uns, Ihnen in freundschaftlicher Verbundenheit ein Handelsabkommen anbieten zu dürfen."
DIP_DETAILS_TREATY_TRADE_PACT_2  "Wir bitten Sie, ein Handelsabkommen mit uns zu schließen. Es wird uns eine Ehre sein, mit einem so großen und wohlhabenden Reich Geschäfte zu machen."
DIP_DETAILS_TREATY_TRADE_PACT_3  "Wir sind bereit, ein Handelsabkommen mit Ihnen zu schließen. Schlagen Sie ein, denn eine solche Gelegenheit bietet sich nur selten."
DIP_DETAILS_TREATY_TRADE_PACT_4  "Wir bieten Ihnen die Gelegenheit, ein Handelsabkommen mit uns zu schließen. Unterschreiben Sie!"
DIP_DETAILS_TREATY_TRADE_PACT_EX_0  "Außerdem schlagen wir ein Handelsabkommen zwischen unseren Völkern vor. Von einer solchen Vereinbarung würden wir alle profitieren."
DIP_DETAILS_TREATY_TRADE_PACT_EX_1  "Außerdem schlagen wir ein Handelsabkommen vor, von dem wir alle profitieren würden."
DIP_DETAILS_TREATY_TRADE_PACT_EX_2  "Außerdem schlagen wir ein Handelsabkommen mit Ihrer großartigen Nation vor und hoffen zum Wohle aller, dass Sie Ihre Zustimmung geben."
DIP_DETAILS_TREATY_TRADE_PACT_EX_3  "Außerdem bitten wir Sie dringend, ein Handelsabkommen mit uns zu schließen. Lassen Sie diese Gelegenheit nicht ungenutzt vorüberziehen."
DIP_DETAILS_TREATY_TRADE_PACT_EX_4  "Außerdem verlangen wir ein Handelsabkommen. Es ist in Ihrem besten Interesse, weiterhin gute Beziehungen zu uns zu unterhalten."
DIP_DETAILS_TREATY_RESEARCH_PACT_0  "Zum Wohle der Wissenschaft in unseren Reichen schlagen wir vor, ein Forschungsabkommen zu schließen."
DIP_DETAILS_TREATY_RESEARCH_PACT_1  "Wir schlagen ein Forschungsabkommen zwischen unseren beiden Völkern vor, denn der Fortschritt setzt starkes Engagement voraus."
DIP_DETAILS_TREATY_RESEARCH_PACT_2  "Wir schlagen ein Forschungsabkommen vor und hoffen, Sie werden zum Wohle der Wissenschaft in unseren Reichen Ihre Zustimmung geben."
DIP_DETAILS_TREATY_RESEARCH_PACT_3  "Wir schlagen ein Forschungsabkommen vor. Unterzeichnen Sie und wir alle werden davon profitieren."
DIP_DETAILS_TREATY_RESEARCH_PACT_4  "Wir bitten Sie dringend, ein Forschungsabkommen mit uns zu schließen. Wissenschaftliche Entdeckungen sind für uns oberste Priorität."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_0  "Außerdem bitten wir Sie um ein Forschungsabkommen. Die Wissenschaft würde von unserem gemeinschaftlichen Engagement profitieren."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_1  "Außerdem schlagen wir ein Forschungsabkommen vor, auf dass unsere guten Beziehungen durch das Engagement für die Forschung gedeihen."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_2  "Außerdem bitten wir Sie, ein Forschungsabkommen mit uns zu schließen und wären dankbar, wenn Sie unserem Wunsch entsprechen würden."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_3  "Außerdem fordern wir Sie dringend auf, ein Forschungsabkommen mit uns zu schließen. Es würde viele Vorteile bringen."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_4  "Außerdem fordern wir Sie auf, ein Forschungsabkommen mit uns zu schließen. Seien Sie nicht so dumm, uns diesen Wunsch abzuschlagen."
DIP_DETAILS_TREATY_MILITARY_PACT_0  "Wir schlagen ein Militärabkommen vor, damit sichergestellt ist, dass wir uns im Falle eines Angriffs gegenseitig verteidigen."
DIP_DETAILS_TREATY_MILITARY_PACT_1  "Wir schlagen ein Militärabkommen vor, so dass für die gegenseitige Sicherheit gesorgt ist."
DIP_DETAILS_TREATY_MILITARY_PACT_2  "Wir schlagen ein Militärabkommen vor, das besagt, dass wir uns im Notfall gegenseitig verteidigen werden."
DIP_DETAILS_TREATY_MILITARY_PACT_3  "Wir raten Ihnen, ein Militärabkommen mit uns unterzeichnen. Die Vorteile eines solchen Arrangements liegen auf der Hand."
DIP_DETAILS_TREATY_MILITARY_PACT_4  "Wir verlangen ein Militärabkommen. Selbst Sie sollten in der Lage sein, die Vorteile einer solchen Vereinbarung zu erkennen."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_0  "Außerdem schlagen wir ein Militärabkommen vor. Ein solches Arrangement würde auf uns alle  eine beruhigende Wirkung haben."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_1  "Außerdem schlagen wir ein Militärabkommen vor, denn als freundschaftlich verbundene Reiche sollten wir den jeweils anderen verteidigen."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_2  "Außerdem bitten wir Sie, ein Militärabkommen mit uns zu schließen. Im Notfall könnten wir Ihre Unterstützung gut gebrauchen."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_3  "Außerdem müssen wir Sie bitten, ein Militärabkommen mit uns zu schließen. Unsere gegenseitige Verteidigung könnte Ihr Überleben sichern."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_4  "Außerdem müssen wir darauf bestehen, dass Sie ein Militärabkommen mit uns schließen."
DIP_DETAILS_TREATY_POLLUTION_PACT_0  "Wir möchten Ihnen ein Umweltschutzabkommen anbieten: Umweltschutz durch Einhaltung eines Grenzwertes von {value[0].value}."
DIP_DETAILS_TREATY_POLLUTION_PACT_1  "{player[1].leader_name}, wir bitten Sie ergebenst um ein Umweltschutzabkommen zwecks beiderseitiger Einhaltung des maximalen Grenzwertes von {value[0].value}."
DIP_DETAILS_TREATY_POLLUTION_PACT_2  "Wir sind bereit, ein Umweltschutzabkommen mit Ihnen zu schließen und den Grenzwert von {value[0].value} nicht zu überschreiten."
DIP_DETAILS_TREATY_POLLUTION_PACT_3  "Wir fordern ein Umweltschutzabkommen, das festlegt, dass der Grenzwert von {value[0].value} nicht mehr überschritten werden darf."
DIP_DETAILS_TREATY_POLLUTION_PACT_4  "Wir verlangen ein Umweltschutzabkommen, mit dem wir uns beide verpflichten, den Grenzwert von {value[0].value} nicht mehr zu überschreiten."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_0  "Außerdem bitten wir Sie um ein Umweltschutzabkommen, das besagt, dass der Grenzwert von {value[0].value} nicht überschritten werden darf."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_1  "Außerdem schlagen wir zum Wohle aller ein Umweltschutzabkommen vor: Der Grenzwert von {value[0].value} muss eingehalten werden."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_2  "Außerdem bitten wir um ein Umweltschutzabkommen, mit dem wir uns verpflichten, den Grenzwert von {value[0].value} einzuhalten."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_3  "Außerdem fordern wir eindringlichst ein Umweltschutzabkommen, das die Überschreitung des maximalen Grenzwertes von {value[0].value} untersagt."
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_4  "Außerdem verlangen wir ein Umweltschutzabkommen, das zur Einhaltung des maximalen Grenzwertes von {value[0].value} verpflichtet."
DIP_DETAILS_TREATY_ALLIANCE_0  "Ehrenwerte {player[1].civ_name_plural#DIRECT}, da wir die gleichen Interessen und Ziele verfolgen, schlagen wir eine Allianz vor, die unsere gemeinsame Weltherrschaft ermöglicht."
DIP_DETAILS_TREATY_ALLIANCE_1  "Um ein Zeichen für die Unveränderlichkeit unserer freundschaftlichen Verbundenheit zu setzen, schlagen wir eine Allianz vor."
DIP_DETAILS_TREATY_ALLIANCE_2  "Um sicherzustellen, dass der Friede zwischen unseren Völkern gewahrt bleibt, schlagen wir eine Allianz vor."
DIP_DETAILS_TREATY_ALLIANCE_3  "Ihr Volk ist zwar schwächer als unseres, dennoch sind wir bereit, eine Allianz mit Ihnen zu schließen. Vielleicht sind Sie uns ja doch mal nützlich."
DIP_DETAILS_TREATY_ALLIANCE_4  "Wir bieten Ihnen eine Allianz an. Es ist ein Privileg, auf unserer Seite sein zu dürfen, und wir raten Ihnen, davon Gebrauch zu machen."
DIP_DETAILS_TREATY_ALLIANCE_EX_0  "Außerdem schlagen wir zur Sicherung des Friedens eine Allianz zwischen unseren beiden wunderbaren Völkern vor."
DIP_DETAILS_TREATY_ALLIANCE_EX_1  "Außerdem schlagen wir eine Allianz vor, damit auch für andere deutlich wird, welche große Anerkennung wir uns gegenseitig zuteil werden lassen."
DIP_DETAILS_TREATY_ALLIANCE_EX_2  "Außerdem flehen wir Sie an, eine Allianz mit uns zu schließen, von der wir beide profitieren würden."
DIP_DETAILS_TREATY_ALLIANCE_EX_3  "Außerdem bieten wir Ihnen eine Allianz mit uns. Übrigens: Nur ein kompletter Idiot würde sich eine solche Gelegenheit entgehen lassen."
DIP_DETAILS_TREATY_ALLIANCE_EX_4  "Außerdem raten wir Ihnen eindringlich, einer Allianz mit uns zuzustimmen."

DIP_THREAT_NONE "KEINE"
DIP_DETAILS_THREAT_NONE "Wenn Sie diese Nachricht sehen, sprechen Sie mit Joe Rumsey. Dies ist ein Bug."
DIP_THREAT_MASS_TROOPS "Truppen versammeln"
DIP_DETAILS_THREAT_MASS_TROOPS "Wir verlieren langsam die Geduld. Sollten Sie sich nicht fügen, werden wir unsere Truppen auf Ihrem Territorium versammeln."
DIP_THREAT_INVADE "Invasion"
DIP_DETAILS_THREAT_INVADE "Wenn Sie unsere Forderungen nicht erfüllen, werden wir in Ihr Land einfallen und alles niedermetzeln."
DIP_THREAT_ATTACK_CITY "Stadt angreifen"
DIP_DETAILS_THREAT_ATTACK_CITY "Sollten Sie unsere Forderungen nicht sofort erfüllen, werden wir die Stadt {city[0].name} angreifen."
DIP_THREAT_ATTACK_ARMY "Truppen angreifen"
DIP_DETAILS_THREAT_ATTACK_ARMY "Sollten Sie sich weigern, werden wir Ihre Truppen angreifen!"
DIP_THREAT_PIRATE "Piraterie"
DIP_DETAILS_THREAT_PIRATE "Sollten Sie unsere Forderungen nicht erfüllen, werden wir den Befehl zum Angriff Ihrer Handelswege erteilen!"
DIP_THREAT_SPECIAL_ATTACK_CITY "Stadt unkonventionell angreifen"
DIP_DETAILS_THREAT_SPECIAL_ATTACK_CITY "Wenn Sie sich nicht fügen, werden wir die Stadt {city[0].name} dem Erdboden gleich machen."
DIP_THREAT_DESTROY_CITY "Stadt vernichten"
DIP_DETAILS_THREAT_DESTROY_CITY "Wenn Sie sich weiterhin widersetzen, werden wir die Stadt {city[0].name} in Schutt und Asche legen."
DIP_THREAT_PILLAGE "Plünderung"
DIP_DETAILS_THREAT_PILLAGE "Wenn Sie nicht darauf eingehen, werden wir Ihr Land gnadenlos ausplündern."
DIP_THREAT_JOIN_MILITARY_ALLY "Allianz schließen"
DIP_DETAILS_THREAT_JOIN_MILITARY_ALLY "Sollten Sie sich weigern, werden wir eine Allianz mit den {player[2].civ_name_plural#DAT} schließen."
DIP_THREAT_SELL_TECHNOLOGY "Technologie verkaufen"
DIP_DETAILS_THREAT_SELL_TECHNOLOGY "Wenn Sie weiterhin stur bleiben, werden wir die Technologie an die {player[2].civ_name_plural} verkaufen."
DIP_THREAT_GIVE_AID "Feind unterstützen"
DIP_DETAILS_THREAT_GIVE_AID "Wenn Sie weiterhin nicht kooperieren, werden wir die {player[2].civ_name_plural} unterstützen."
DIP_THREAT_END_AGREEMENT "Abkommen beenden"
DIP_DETAILS_THREAT_END_AGREEMENT "Wenn Sie sich nicht fügen, werden wir alle unsere Vereinbarungen aufkündigen."
DIP_THREAT_TRADE_EMBARGO "Embargo"
DIP_DETAILS_THREAT_TRADE_EMBARGO "Wenn Sie weiterhin Schwierigkeiten machen, werden wir den Handel mit Ihrem Volk einstellen."
DIP_THREAT_DECLARE_WAR "Krieg erklären"
DIP_DETAILS_THREAT_DECLARE_WAR "Sollten Sie sich nicht einverstanden erklären, bedeutet das Krieg!"


str_ldl_ChooseAmount "Betrag festlegen"
str_dip_ChooseCivFirst "Empfänger wählen"
str_dip_CounterProposalHeader "Gegenvorschlag: "
str_dip_ResponseAccept "Gesuch akzeptiert"
str_dip_ResponseReject "Gesuch abgelehnt"
str_ldl_DipThreaten "Drohen"
str_ldl_MakeThreat "Drohung aussprechen"

##
##	Pop-up Messages
##
POPUP_GENERIC_ACCEPT "Die {player[1].civ_name_plural} haben alle Bedingungen Ihres Gesuchs akzeptiert."
POPUP_GENERIC_REJECT "Die {player[1].civ_name_plural} haben Ihr Gesuch abgelehnt."
POPUP_GENERIC_THREAT_REJECT "Die {player[1].civ_name_plural} haben Ihre Drohung ignoriert."
POPUP_DECLARE_WAR_ANNC "Hoheit, die {player[1].civ_name_plural} haben uns den Krieg erklärt!"

##
##	CITY MANAGER
##

BUILD_GROWTH_ADVICE "Sie sollten Modernisierungen errichten, die das Wachstum der Stadt fördern."
BUILD_PRODUCTION_ADVICE "Diese Stadt braucht mehr Produktion, deshalb sollten Sie Stadt- und Feld-Modernisierungen errichten."
BUILD_GOLD_ADVICE "Errichten Sie handelsfördernde Modernisierungen, um mehr Geld zu erwirtschaften und damit dem stagnierenden Handel entgegenzuwirken."
BUILD_OFFENSE_ADVICE "Unsere Generäle fordern frische Kampftruppen, daher sollten Sie so bald wie möglich weitere Offensiveinheiten erschaffen."
BUILD_SCIENCE_ADVICE "Diese Stadt könnte einige Modernisierungen zur Förderung der Wissenschaft gebrauchen."
BUILD_WONDERS_ADVICE "Diese Stadt ist äußerst produktiv. Sie sollten die Produktion darauf verwenden, Weltwunder zu errichten."
BUILD_DEFENSE_ADVICE "Diese Stadt ist feindlichen Angriffen schutzlos ausgeliefert. Sie sollten defensive Gebäude und Einheiten errichten, damit die Bevölkerung in Sicherheit leben kann."
BUILD_HAPPINESS_ADVICE "Die Bürger dieser Stadt sind unzufrieden. Wenn Sie ein paar Modernisierungen errichten würden, die die Zufriedenheit steigern, würden Sie dem Volk damit einen großen Gefallen tun."
BUILD_DEFAULT_ADVICE "Für diese Stadt habe ich keine besonderen Ratschläge parat. Hier scheint alles in bester Ordnung zu sein."

##
##  EMPIRE MANAGER
##

# Slider Advice

SLIDERS_MAINTAIN_EXPECTATION_ADVICE "Löhne, Arbeitstage und Rationen sind in Ordnung. Ich sehe keinen Grund, diese Einstellungen zu ändern."
SLIDERS_INCREASE_HAPPINESS_WITH_GOLD_ADVICE "Unsere Bürger sind unzufrieden!! Vielleicht sollten Sie ihre Löhne erhöhen."
SLIDERS_INCREASE_HAPPINESS_WITH_FOOD_ADVICE "Die Leute sind unzufrieden, weil sie nicht genug Nahrung bekommen. Sie sollten vielleicht die Rationen erhöhen."
SLIDERS_INCREASE_HAPPINESS_WITH_WORKDAY_ADVICE "Ihre Bürger fühlen sich überarbeitet. Sie sollten die Arbeitstage verkürzen, damit sie sich erholen können. Ich bin sicher, sie wären Ihnen dankbar dafür."
SLIDERS_INCREASE_GROWTH_WITH_PRODUCTION "Wir müssen unser Reich erweitern. Es wird den Leuten nicht gefallen, wenn Sie die Rationen kürzen, aber mit der zusätzlichen Nahrung können wir uns schneller vergrößern. Um der Unzufriedenheit entgegenzuwirken, sollten Sie gleichzeitig die Arbeitstage verkürzen."
SLIDERS_INCREASE_SCIENCE_WITH_PRODUCTION "Unsere Wissenschaftler beschweren sich über mangelnde Unterstützung. Wir sollten die Löhne senken, um mehr finanzielle Mittel für wissenschaftliche Zwecke freizusetzen. Die Leute werden dadurch zwar unzufriedener, das könnte man aber durch kürzere Arbeitstage wieder wettmachen."

# Government Advice

GOVERNMENT_ANARCHY_HIGHER_RANK_ADVICE "Ich schlage vor, Sie wechseln zur Regierungsform der Anarchie. Das ist immerhin besser als gar nichts."
GOVERNMENT_ANARCHY_SAME_RANK_ADVICE "Sie sollten vielleicht die Regierungsform der Anarchie etablieren. Das ist immer noch besser, als gar keine Regierung zu haben."
GOVERNMENT_TYRANNY_SAME_RANK_ADVICE "Ich schlage vor, Sie führen die Tyrannei ein, damit Sie eine starke Militärpräsenz aufbauen können."
GOVERNMENT_TYRANNY_HIGHER_RANK_ADVICE "Sie sollten vielleicht die Regierungsform der Tyrannei einführen."
GOVERNMENT_MONARCHY_SAME_RANK_ADVICE "Ich schlage vor, Sie ändern Ihre Regierungsform in eine Monarchie. Mit Ihnen als Staatsoberhaupt wird unsere Nation zweifellos gedeihen und unsere militärische Stärke ansteigen."
GOVERNMENT_MONARCHY_HIGHER_RANK_ADVICE  "Sie sollten vielleicht die Regierungsform der Monarchie einführen. Unter Ihrer Herrschaft wären unsere Bürger noch produktiver und kämen dadurch in den Genuss größeren Wohlstands."
GOVERNMENT_THEOCRACY_SAME_RANK_ADVICE "Ich schlage vor, Sie ändern Ihre Regierungsform in eine Theokratie, damit wir Kleriker einsetzen können, um unsere Macht auszuweiten."
GOVERNMENT_THEOCRACY_HIGHER_RANK_ADVICE "Sie sollten vielleicht die Theokratie einführen, denn eine Regierung, die sich auf den Glauben stützt, ist einfach stärker."
GOVERNMENT_REPUBLIC_SAME_RANK_ADVICE "Ich schlage vor, wir ändern unsere Regierungsform in eine Republik, damit wir Frieden und Wohlstand erfahren."
GOVERNMENT_REPUBLIC_HIGHER_RANK_ADVICE "Sie sollten vielleicht die Regierungsform einer Republik in Erwägung ziehen. Das bringt viele Vorteile hinsichtlich der Produktivität, des Wachstums und der Wissenschaft."
GOVERNMENT_DEMOCRACY_SAME_RANK_ADVICE "Sie sollten sich überlegen, ob Sie zum Wohle des Handels und der Wissenschaft nicht eine neue Regierungsform wählen sollten: die Demokratie."
GOVERNMENT_DEMOCRACY_HIGHER_RANK_ADVICE "Ich schlage vor, wir ändern unsere Regierungsform in eine Demokratie. Das Volk sehnt sich nach Wohlstand, Produktivität und Freiheit."
GOVERNMENT_COMMUNISM_SAME_RANK_ADVICE "Ich schlage vor, wir etablieren den Kommunismus als Regierungsform. Dadurch wäre unsere Nation produktiver denn je."  
GOVERNMENT_COMMUNISM_HIGHER_RANK_ADVICE "Der Kommunismus würde unsere Nation produktiver und mächtiger machen, in militärischer wie auch in industrieller Hinsicht. Daher empfehle ich die entsprechende Änderung unserer Regierungsform."
GOVERNMENT_FASCISM_SAME_RANK_ADVICE "Ich empfehle die Wahl der Regierungsform Faschismus. Als diktatorisches Staatsoberhaupt würden Sie mit eiserner Faust regieren. Niemand würde es wagen, unsere Militärtruppen herauszufordern!"
GOVERNMENT_FASCISM_HIGHER_RANK_ADVICE "Sie sollten den Faschismus als neue Regierungsform in unserer Nation in Erwägung ziehen. Die daraus resultierenden Vorteile in Bezug auf Produktivität und Militär wären enorm."
GOVERNMENT_ECOTOPIA_SAME_RANK_ADVICE "Ich schlage vor, eine neue Regierungsform zu wählen: die Ökotopie. Auf diese Weise würden wir die Vorzüge einer sauberen Umwelt genießen können."
GOVERNMENT_ECOTOPIA_HIGHER_RANK_ADVICE "Da ökotopische Nationen bekanntermaßen Wohlstand genießen, wäre die Regierungsform der Ökotopie zurzeit vielleicht auch für uns geeignet."
GOVERNMENT_CORPORATE_REPUBLIC_SAME_RANK_ADVICE "Als Handelsrepublik würde unsere Nation Wohlstand und Produktivität erfahren, denn Handel und Wissenschaft würden eine Blütezeit erreichen. Deshalb schlage ich eine entsprechende Änderung unserer Regierungsform vor."
